plant,helps_plant,by
Marigold,Grapefruit,"repelling certain pests like citrus leaf miners and spider mites, while also attracting beneficial insects like ladybugs."
Sweetcorn,Grapefruit,"providing shade and wind protection to the grapefruit trees, which can reduce water stress and improve fruit quality."
Yarrow,Grapefruit,"attracting beneficial insects like parasitic wasps and hoverflies, which prey on pests that can damage grapefruit trees."
Borage,Grapefruit,"attracting pollinators like bees and butterflies, which enhance fruit production in grapefruit trees."
Thyme,Grapefruit,"repelling certain pests like citrus leafminers and spider mites, while also enhancing the flavor of nearby plants."
Dill,Kumquat,"repelling certain pests like aphids and thrips, while also attracting beneficial insects like hoverflies that prey on kumquat pests."
Calendula,Kumquat,"repelling certain pests like whiteflies and spider mites, while also attracting beneficial insects like lacewings that prey on kumquat pests."
Cosmos,Kumquat,"attracting pollinators like bees and butterflies, which enhance fruit production in kumquat trees."
Yarrow,Kumquat,"attracting beneficial insects like parasitic wasps and hoverflies, which prey on pests that can damage kumquat trees."
Borage,Kumquat,"attracting pollinators like bees and butterflies, which enhance fruit production in kumquat trees."
Thyme,Kumquat,"repelling certain pests like citrus leafminers and spider mites, while also enhancing the flavor of nearby plants."
Dill,Mandarin Orange,"repelling certain pests like aphids and thrips, while also attracting beneficial insects like hoverflies that prey on mandarin orange pests."
Calendula,Mandarin Orange,"repelling certain pests like whiteflies and spider mites, while also attracting beneficial insects like lacewings that prey on mandarin orange pests."
Soya beans,Mandarin Orange,"fixing nitrogen in the soil, which enhances the nutrient availability for mandarin orange plants, leading to improved growth and yield."
Cosmos,Mandarin Orange,"attracting pollinators like bees and butterflies, which enhance fruit production in mandarin orange trees."
Marigold,Mandarin Orange,"repelling certain pests like citrus leaf miners and spider mites, while also attracting beneficial insects like ladybugs."
Yarrow,Mandarin Orange,"attracting beneficial insects like parasitic wasps and hoverflies, which prey on pests that can damage mandarin orange trees."
Borage,Mandarin Orange,"attracting pollinators like bees and butterflies, which enhance fruit production in mandarin orange trees."
Thyme,Mandarin Orange,"repelling certain pests like citrus leafminers and spider mites, while also enhancing the flavor of nearby plants."
Guava,Mango,"providing shade and wind protection to the mango trees, which can improve fruit quality and reduce water stress."
Crowder Peas,Mango,"fixing nitrogen in the soil, which enhances the nutrient availability for mango plants, leading to improved growth and yield."
Beans (Borlotti),Olive,"fixing nitrogen in the soil, which enhances the nutrient availability for olive trees, leading to improved growth and yield."
Beans (Runner),Olive,"fixing nitrogen in the soil, which enhances the nutrient availability for olive trees, leading to improved growth and yield."
Peas,Olive,"fixing nitrogen in the soil, which enhances the nutrient availability for olive trees, leading to improved growth and yield."
Beans (Broad),Olive,"fixing nitrogen in the soil, which enhances the nutrient availability for olive trees, leading to improved growth and yield."
Butter Bean,Olive,"fixing nitrogen in the soil, which enhances the nutrient availability for olive trees, leading to improved growth and yield."
Beans (French),Olive,"fixing nitrogen in the soil, which enhances the nutrient availability for olive trees, leading to improved growth and yield."
Peanut,Plantain,"fixing nitrogen in the soil, which enhances the nutrient availability for plantain plants, leading to improved growth and yield."
Beans (French),Papaya,"fixing nitrogen in the soil, which enhances the nutrient availability for papaya trees, leading to improved growth and yield."
Dill,Satsuma Orange,"repelling certain pests like aphids and thrips, while also attracting beneficial insects like hoverflies that prey on satsuma orange pests."
Calendula,Satsuma Orange,"repelling certain pests like whiteflies and spider mites, while also attracting beneficial insects like lacewings that prey on satsuma orange pests."
Cosmos,Satsuma Orange,"attracting pollinators like bees and butterflies, which enhance fruit production in satsuma orange trees."
Marigold,Satsuma Orange,"repelling certain pests like citrus leaf miners and spider mites, while also attracting beneficial insects like ladybugs."
Yarrow,Satsuma Orange,"attracting beneficial insects like parasitic wasps and hoverflies, which prey on pests that can damage satsuma orange trees."
Borage,Satsuma Orange,"attracting pollinators like bees and butterflies, which enhance fruit production in satsuma orange trees."
Thyme,Satsuma Orange,"repelling certain pests like citrus leafminers and spider mites, while also enhancing the flavor of nearby plants."
Garlic,Rose (Climbing),"deterring pests such as aphids, spider mites, and rose beetles due to its strong aroma and potential insecticidal properties."
Geranium,Rose (Climbing),"repelling certain pests like aphids and Japanese beetles, while also attracting beneficial insects like ladybugs."
Banana,Coconut,"providing shade and wind protection to the coconut palms, which can improve fruit quality and reduce water stress."
Beans (French),Coconut,"fixing nitrogen in the soil, which enhances the nutrient availability for coconut palms, leading to improved growth and yield."
Potatoes (Maincrop),Butter Bean,"providing a living mulch that suppresses weeds, retains soil moisture, and adds organic matter to the soil, promoting healthier growth in butter beans."
Petunia,Butter Bean,"attracting beneficial insects like bees and hoverflies, which aid in pollination and pest control, leading to improved yield in butter bean plants."
Catnip,Butter Bean,"repelling certain pests like aphids, spider mites, and flea beetles, while also attracting beneficial insects like predatory wasps that prey on butter bean pests."
Rosemary,Butter Bean,"repelling pests like bean beetles and aphids, while also enhancing the flavor of nearby plants."
Potatoes (Early),Butter Bean,"providing shade and wind protection to the butter bean plants, which can improve growth and yield."
Nasturtium,Butter Bean,"repelling pests like aphids and whiteflies, while also attracting beneficial insects like predatory insects that prey on butter bean pests."
Dill,Collards,"attracting beneficial insects like lacewings and ladybugs, which prey on collard pests like aphids and cabbage worms."
Calendula,Collards,"repelling pests such as aphids and cabbage worms, while also attracting beneficial insects like hoverflies and parasitic wasps."
Soya beans,Collards,"fixing nitrogen in the soil, which enhances nutrient availability and promotes healthier growth in collard plants."
Agastache,Collards,"attracting pollinators like bees and butterflies, which can increase seed production and overall plant health."
Sage,Collards,"repelling pests such as cabbage loopers and flea beetles, protecting collard plants from damage."
Radish,Collards,"acting as a trap crop for pests like flea beetles, diverting them away from collard plants."
Garlic,Collards,"deterring pests like aphids, cabbage loopers, and cabbage worms due to its strong aroma and potential insecticidal properties."
Tomato (Regular),Collards,"providing shade and wind protection to the collard plants, which can improve their growth and yield."
Onion (Autumn planted),Collards,"repelling pests like aphids and flea beetles, while also adding nutrients to the soil as they decompose."
Cabbage (Chinese),Collards,"attracting beneficial insects like parasitic wasps, which prey on pests that can damage collard plants."
Onion (Perennial),Collards,"repelling pests such as aphids and cabbage worms, while also adding organic matter to the soil as they grow."
Thyme,Collards,"repelling pests like cabbage loopers and cabbage worms, while also enhancing the flavor of nearby plants."
Tomato (Cherry),Collards,"providing shade and wind protection to the collard plants, which can improve their growth and yield."
Nasturtium,Collards,"repelling pests like aphids and cabbage worms, while also attracting beneficial insects like predatory insects that prey on collard pests."
Dill,Cotton,"attracting beneficial insects like predatory wasps and ladybugs, which prey on pests that can damage cotton plants."
Onion,Cotton,"repelling pests like aphids and thrips, while also deterring certain soil-borne pathogens."
Sunflower,Cotton,"providing shade and wind protection to the cotton plants, which can reduce water stress and improve fiber quality."
Garlic,Cotton,"deterring pests like aphids, boll weevils, and spider mites due to its strong aroma and potential insecticidal properties."
Onion (Autumn planted),Cotton,"repelling pests like aphids and bollworms, while also adding organic matter to the soil as they decompose."
Basil,Cotton,"repelling pests like spider mites and aphids, while also attracting beneficial insects like predatory insects that prey on cotton pests."
Mint,Cotton,"repelling pests such as ants and flea beetles, while also adding essential oils to the surrounding soil that may deter certain pests."
Thyme,Cotton,"repelling pests like aphids and spider mites, while also enhancing the flavor of nearby plants."
Onion (Red),Cotton,"repelling pests like aphids and spider mites, while also deterring certain soil-borne diseases."
Dill,Gourd,"attracting beneficial insects like predatory wasps and ladybugs, which prey on pests that can damage gourd plants."
Radish,Gourd,"acting as a trap crop for pests like cucumber beetles and squash bugs, diverting them away from the gourd plants."
Catnip,Gourd,"repelling pests like aphids and squash bugs, while also attracting beneficial insects like predatory insects that prey on gourd pests."
Buckwheat,Gourd,"suppressing weeds, improving soil structure, and attracting beneficial insects like hoverflies and parasitic wasps."
Crowder Peas,Gourd,"fixing nitrogen in the soil, which enhances nutrient availability and promotes healthier growth in gourd plants."
Crimson Clover,Gourd,"attracting pollinators like bees and butterflies, which can increase fruit set and overall plant health."
Tansy,Gourd,"repelling pests like ants and cucumber beetles, while also deterring certain soil-borne pathogens."
Nasturtium,Gourd,"repelling pests like aphids and squash bugs, while also attracting beneficial insects like predatory insects that prey on gourd pests."
Beetroot,Radicchio,"repelling pests like aphids and flea beetles, while also improving soil health with its deep taproots."
Peas,Spinach (Malabar),"fixing nitrogen in the soil, which enhances nutrient availability and promotes healthier growth in Malabar spinach plants."
Radish,Watermelon,"loosening compacted soil and suppressing weeds, while also attracting beneficial insects like ground beetles and parasitic wasps."
Buckwheat,Watermelon,"suppressing weeds, improving soil structure, and attracting beneficial insects like hoverflies and predatory wasps."
Crowder Peas,Watermelon,"fixing nitrogen in the soil, which enhances nutrient availability and promotes healthier growth in watermelon plants."
Crimson Clover,Watermelon,"attracting pollinators like bees and butterflies, which can increase fruit set and overall plant health."
Beans (Runner),Watermelon,"providing shade and wind protection to the watermelon plants, which can reduce water stress and improve fruit quality."
Beans (French),Watermelon,"fixing nitrogen in the soil, which enhances nutrient availability and promotes healthier growth in watermelon plants."
Tansy,Watermelon,"repelling pests like ants and cucumber beetles, while also deterring certain soil-borne pathogens."
Nasturtium,Watermelon,"repelling pests like aphids and cucumber beetles, while also attracting beneficial insects like predatory insects that prey on watermelon pests."
